66,Keith Ferguson,Operations,Specialist,69350.00,keith.ferguson66@corp.com,NULL,NULL
67,Steven Walker,HR,Specialist,53942.00,steven.walker67@corp.com,NULL,NULL
68,Jason Evans,Customer Success,Specialist,82896.00,jason.evans68@corp.com,NULL,NULL
69,Genevieve Horn,Sales,Specialist,98696.00,genevieve.horn69@corp.com,NULL,NULL
70,Joyce Butler,Finance,Coordinator,164601.00,joyce.butler70@corp.com,NULL,NULL
71,Teresa Alexander,Marketing,Architect,99469.00,teresa.alexander71@corp.com,NULL,NULL
72,Bobby Cervantes,R&D,Engineer,104746.00,bobby.cervantes72@corp.com,NULL,NULL
73,Candy Wolf,Operations,Architect,139688.00,candy.wolf73@corp.com,NULL,NULL
74,Lamont Velez,R&D,VP,154528.00,lamont.velez74@corp.com,NULL,NULL
75,Cyrus Fuentes,R&D,Engineer,57256.00,cyrus.fuentes75@corp.com,NULL,NULL
76,Kristine Ashley,Marketing,Architect,114809.00,kristine.ashley76@corp.com,NULL,NULL
77,Emily King,HR,Director,68846.00,emily.king77@corp.com,NULL,NULL
78,Reba Tyler,Legal,Consultant,206467.00,reba.tyler78@corp.com,NULL,NULL
79,Lora Bender,Customer Success,Architect,102518.00,lora.bender79@corp.com,NULL,NULL
80,Manuel Klein,Legal,VP,127515.00,manuel.klein80@corp.com,NULL,NULL
81,Stella Delgado,Legal,Specialist,188758.00,stella.delgado81@corp.com,NULL,NULL
82,Bettie Berg,HR,Engineer,89086.00,bettie.berg82@corp.com,NULL,NULL
83,Carlos Graves,Marketing,Senior Engineer,117194.00,carlos.graves83@corp.com,NULL,NULL
84,Dorothy Flores,R&D,Consultant,221156.00,dorothy.flores84@corp.com,NULL,NULL
85,Nettie Buckner,IT,Analyst,186504.00,nettie.buckner85@corp.com,NULL,NULL
86,Rod Gallagher,Engineering,Director,58333.00,rod.gallagher86@corp.com,NULL,NULL
87,Myron Sexton,Operations,VP,96165.00,myron.sexton87@corp.com,NULL,NULL
88,Virginia Russell,HR,Engineer,126779.00,virginia.russell88@corp.com,NULL,NULL
89,Paul Allen,Sales,Engineer,112916.00,paul.allen89@corp.com,NULL,NULL
90,Verna Krause,HR,VP,146593.00,verna.krause90@corp.com,NULL,NULL
91,Jason Evans,Operations,Senior Engineer,152344.00,jason.evans91@corp.com,NULL,NULL
92,Arthur Cole,Legal,VP,242115.00,arthur.cole92@corp.com,NULL,NULL
93,Esperanza Middleton,Operations,VP,244255.00,esperanza.middleton93@corp.com,NULL,NULL
94,Bennie Duffy,Sales,Analyst,161621.00,bennie.duffy94@corp.com,NULL,NULL
95,Christian Carpenter,IT,Coordinator,128229.00,christian.carpenter95@corp.com,NULL,NULL
96,Ramon Velez,HR,Manager,146649.00,ramon.velez96@corp.com,NULL,NULL
97,Jodie Wiggins,Sales,Coordinator,246061.00,jodie.wiggins97@corp.com,NULL,NULL
98,Rosalind Pena,R&D,VP,235967.00,rosalind.pena98@corp.com,NULL,NULL
99,Loren Solis,Operations,Senior Engineer,228283.00,loren.solis99@corp.com,NULL,NULL
100,Merle Hahn,Finance,Consultant,198372.00,merle.hahn100@corp.com,NULL,NULL
